source,target,type,source_type,target_type,0
1,35,cerca_de,cuadra,water_channel,0.8320781
1,162,cerca_de,cuadra,water_channel,0.8790313
2,35,cerca_de,cuadra,water_channel,0.95268494
3,35,cerca_de,cuadra,water_channel,0.6784795
3,162,cerca_de,cuadra,water_channel,0.7117921
10,35,cerca_de,cuadra,water_channel,0.9298837
11,35,cerca_de,cuadra,water_channel,0.8495938
11,162,cerca_de,cuadra,water_channel,0.8859632
13,35,cerca_de,cuadra,water_channel,0.54048884
14,35,cerca_de,cuadra,water_channel,0.3156843
15,35,cerca_de,cuadra,water_channel,0.15334612
20,35,cerca_de,cuadra,water_channel,0.90164685
21,35,cerca_de,cuadra,water_channel,0.67430836
21,162,cerca_de,cuadra,water_channel,0.77531403
22,35,cerca_de,cuadra,water_channel,0.5839667
22,162,cerca_de,cuadra,water_channel,0.8700384
23,35,cerca_de,cuadra,water_channel,0.71975106
24,35,cerca_de,cuadra,water_channel,0.49833536
24,162,cerca_de,cuadra,water_channel,0.5335674
25,35,cerca_de,cuadra,water_channel,0.3283047
25,162,cerca_de,cuadra,water_channel,0.3993829
26,35,cerca_de,cuadra,water_channel,0.15261716
26,162,cerca_de,cuadra,water_channel,0.5213353
27,35,cerca_de,cuadra,water_channel,0.42715505
27,162,cerca_de,cuadra,water_channel,0.67679274
28,35,cerca_de,cuadra,water_channel,0.13621405
28,162,cerca_de,cuadra,water_channel,0.31553283
29,35,cerca_de,cuadra,water_channel,0.093815595
29,162,cerca_de,cuadra,water_channel,0.540893
30,35,cerca_de,cuadra,water_channel,0.07234322
30,162,cerca_de,cuadra,water_channel,0.85025924
31,35,cerca_de,cuadra,water_channel,0.0579663
31,162,cerca_de,cuadra,water_channel,0.29236063
32,35,cerca_de,cuadra,water_channel,0.019920716
32,162,cerca_de,cuadra,water_channel,0.2698788
33,35,cerca_de,cuadra,water_channel,0.044865947
33,162,cerca_de,cuadra,water_channel,0.40868628
34,35,cerca_de,cuadra,water_channel,0.060855296
34,162,cerca_de,cuadra,water_channel,0.48334044
35,35,cerca_de,cuadra,water_channel,0.107896924
35,162,cerca_de,cuadra,water_channel,0.42342162
36,35,cerca_de,cuadra,water_channel,0.046557095
36,162,cerca_de,cuadra,water_channel,0.50925493
37,35,cerca_de,cuadra,water_channel,0.03246596
37,159,cerca_de,cuadra,water_channel,0.97648346
37,162,cerca_de,cuadra,water_channel,0.6742744
38,35,cerca_de,cuadra,water_channel,0.0509508
38,162,cerca_de,cuadra,water_channel,0.5152968
39,35,cerca_de,cuadra,water_channel,0.10359541
40,35,cerca_de,cuadra,water_channel,0.054547336
41,35,cerca_de,cuadra,water_channel,0.09493275
