source,target,type,source_type,target_type,0
0,2,reporta_a,cuadra,health_post,0.38246498
1,2,reporta_a,cuadra,health_post,0.34542906
2,2,reporta_a,cuadra,health_post,0.3645556
3,2,reporta_a,cuadra,health_post,0.30689034
4,2,reporta_a,cuadra,health_post,0.34874514
5,2,reporta_a,cuadra,health_post,0.35369992
6,2,reporta_a,cuadra,health_post,0.3322687
7,2,reporta_a,cuadra,health_post,0.34505326
8,2,reporta_a,cuadra,health_post,0.36933848
9,2,reporta_a,cuadra,health_post,0.29805595
10,2,reporta_a,cuadra,health_post,0.30216286
11,2,reporta_a,cuadra,health_post,0.3074025
12,2,reporta_a,cuadra,health_post,0.33066458
13,2,reporta_a,cuadra,health_post,0.21958399
14,2,reporta_a,cuadra,health_post,0.20054446
15,2,reporta_a,cuadra,health_post,0.1838137
16,2,reporta_a,cuadra,health_post,0.31189346
17,2,reporta_a,cuadra,health_post,0.28595686
18,2,reporta_a,cuadra,health_post,0.29154983
19,2,reporta_a,cuadra,health_post,0.28895304
20,2,reporta_a,cuadra,health_post,0.25937504
21,2,reporta_a,cuadra,health_post,0.27467868
22,2,reporta_a,cuadra,health_post,0.2539874
23,2,reporta_a,cuadra,health_post,0.23870662
24,2,reporta_a,cuadra,health_post,0.28017676
25,2,reporta_a,cuadra,health_post,0.26939946
26,2,reporta_a,cuadra,health_post,0.2351024
27,2,reporta_a,cuadra,health_post,0.24997653
28,2,reporta_a,cuadra,health_post,0.2587468
29,2,reporta_a,cuadra,health_post,0.23245728
30,2,reporta_a,cuadra,health_post,0.21084811
31,2,reporta_a,cuadra,health_post,0.2523783
32,2,reporta_a,cuadra,health_post,0.25171623
33,2,reporta_a,cuadra,health_post,0.24379462
34,2,reporta_a,cuadra,health_post,0.23945336
35,2,reporta_a,cuadra,health_post,0.24798292
36,2,reporta_a,cuadra,health_post,0.23606731
37,2,reporta_a,cuadra,health_post,0.21944585
38,2,reporta_a,cuadra,health_post,0.22878525
