source,target,type,source_type,target_type
0,4,vecina_de,cuadra,cuadra
1,2,vecina_de,cuadra,cuadra
1,7,vecina_de,cuadra,cuadra
2,1369,vecina_de,cuadra,cuadra
3,11,vecina_de,cuadra,cuadra
3,24,vecina_de,cuadra,cuadra
4,12,vecina_de,cuadra,cuadra
4,3881,vecina_de,cuadra,cuadra
5,12,vecina_de,cuadra,cuadra
6,7,vecina_de,cuadra,cuadra
6,8,vecina_de,cuadra,cuadra
6,9,vecina_de,cuadra,cuadra
6,10,vecina_de,cuadra,cuadra
6,11,vecina_de,cuadra,cuadra
7,8,vecina_de,cuadra,cuadra
9,10,vecina_de,cuadra,cuadra
9,18,vecina_de,cuadra,cuadra
9,19,vecina_de,cuadra,cuadra
9,21,vecina_de,cuadra,cuadra
10,11,vecina_de,cuadra,cuadra
10,21,vecina_de,cuadra,cuadra
11,21,vecina_de,cuadra,cuadra
12,16,vecina_de,cuadra,cuadra
13,14,vecina_de,cuadra,cuadra
13,15,vecina_de,cuadra,cuadra
13,23,vecina_de,cuadra,cuadra
14,15,vecina_de,cuadra,cuadra
14,23,vecina_de,cuadra,cuadra
14,39,vecina_de,cuadra,cuadra
14,41,vecina_de,cuadra,cuadra
15,39,vecina_de,cuadra,cuadra
15,40,vecina_de,cuadra,cuadra
15,41,vecina_de,cuadra,cuadra
16,17,vecina_de,cuadra,cuadra
16,18,vecina_de,cuadra,cuadra
16,19,vecina_de,cuadra,cuadra
17,18,vecina_de,cuadra,cuadra
17,19,vecina_de,cuadra,cuadra
17,20,vecina_de,cuadra,cuadra
18,19,vecina_de,cuadra,cuadra
18,20,vecina_de,cuadra,cuadra
19,20,vecina_de,cuadra,cuadra
20,23,vecina_de,cuadra,cuadra
21,22,vecina_de,cuadra,cuadra
21,27,vecina_de,cuadra,cuadra
22,26,vecina_de,cuadra,cuadra
22,27,vecina_de,cuadra,cuadra
24,25,vecina_de,cuadra,cuadra
24,28,vecina_de,cuadra,cuadra
24,35,vecina_de,cuadra,cuadra
25,28,vecina_de,cuadra,cuadra
25,29,vecina_de,cuadra,cuadra
25,31,vecina_de,cuadra,cuadra
25,32,vecina_de,cuadra,cuadra
25,33,vecina_de,cuadra,cuadra
25,34,vecina_de,cuadra,cuadra
25,35,vecina_de,cuadra,cuadra
25,36,vecina_de,cuadra,cuadra
26,27,vecina_de,cuadra,cuadra
26,29,vecina_de,cuadra,cuadra
26,30,vecina_de,cuadra,cuadra
26,35,vecina_de,cuadra,cuadra
26,37,vecina_de,cuadra,cuadra
26,38,vecina_de,cuadra,cuadra
27,29,vecina_de,cuadra,cuadra
28,29,vecina_de,cuadra,cuadra
28,31,vecina_de,cuadra,cuadra
28,32,vecina_de,cuadra,cuadra
28,33,vecina_de,cuadra,cuadra
28,34,vecina_de,cuadra,cuadra
28,35,vecina_de,cuadra,cuadra
28,36,vecina_de,cuadra,cuadra
28,38,vecina_de,cuadra,cuadra
28,228,vecina_de,cuadra,cuadra
28,229,vecina_de,cuadra,cuadra
28,232,vecina_de,cuadra,cuadra
29,30,vecina_de,cuadra,cuadra
29,31,vecina_de,cuadra,cuadra
29,33,vecina_de,cuadra,cuadra
29,34,vecina_de,cuadra,cuadra
29,35,vecina_de,cuadra,cuadra
29,36,vecina_de,cuadra,cuadra
29,37,vecina_de,cuadra,cuadra
29,38,vecina_de,cuadra,cuadra
29,227,vecina_de,cuadra,cuadra
29,228,vecina_de,cuadra,cuadra
30,37,vecina_de,cuadra,cuadra
30,38,vecina_de,cuadra,cuadra
30,226,vecina_de,cuadra,cuadra
30,227,vecina_de,cuadra,cuadra
31,32,vecina_de,cuadra,cuadra
31,33,vecina_de,cuadra,cuadra
31,34,vecina_de,cuadra,cuadra
31,35,vecina_de,cuadra,cuadra
31,36,vecina_de,cuadra,cuadra
31,37,vecina_de,cuadra,cuadra
31,38,vecina_de,cuadra,cuadra
31,228,vecina_de,cuadra,cuadra
31,229,vecina_de,cuadra,cuadra
31,232,vecina_de,cuadra,cuadra
32,33,vecina_de,cuadra,cuadra
32,34,vecina_de,cuadra,cuadra
32,35,vecina_de,cuadra,cuadra
32,36,vecina_de,cuadra,cuadra
32,37,vecina_de,cuadra,cuadra
32,38,vecina_de,cuadra,cuadra
32,228,vecina_de,cuadra,cuadra
32,229,vecina_de,cuadra,cuadra
32,232,vecina_de,cuadra,cuadra
32,308,vecina_de,cuadra,cuadra
33,34,vecina_de,cuadra,cuadra
33,35,vecina_de,cuadra,cuadra
33,36,vecina_de,cuadra,cuadra
33,37,vecina_de,cuadra,cuadra
33,38,vecina_de,cuadra,cuadra
33,228,vecina_de,cuadra,cuadra
33,229,vecina_de,cuadra,cuadra
33,232,vecina_de,cuadra,cuadra
33,308,vecina_de,cuadra,cuadra
34,35,vecina_de,cuadra,cuadra
34,36,vecina_de,cuadra,cuadra
34,37,vecina_de,cuadra,cuadra
34,38,vecina_de,cuadra,cuadra
34,228,vecina_de,cuadra,cuadra
34,229,vecina_de,cuadra,cuadra
34,232,vecina_de,cuadra,cuadra
34,308,vecina_de,cuadra,cuadra
35,36,vecina_de,cuadra,cuadra
35,37,vecina_de,cuadra,cuadra
35,38,vecina_de,cuadra,cuadra
35,228,vecina_de,cuadra,cuadra
35,229,vecina_de,cuadra,cuadra
35,232,vecina_de,cuadra,cuadra
36,37,vecina_de,cuadra,cuadra
36,38,vecina_de,cuadra,cuadra
36,227,vecina_de,cuadra,cuadra
36,228,vecina_de,cuadra,cuadra
36,229,vecina_de,cuadra,cuadra
36,232,vecina_de,cuadra,cuadra
36,308,vecina_de,cuadra,cuadra
37,38,vecina_de,cuadra,cuadra
37,226,vecina_de,cuadra,cuadra
37,227,vecina_de,cuadra,cuadra
37,228,vecina_de,cuadra,cuadra
37,229,vecina_de,cuadra,cuadra
37,230,vecina_de,cuadra,cuadra
37,308,vecina_de,cuadra,cuadra
38,227,vecina_de,cuadra,cuadra
38,228,vecina_de,cuadra,cuadra
38,229,vecina_de,cuadra,cuadra
39,40,vecina_de,cuadra,cuadra
39,41,vecina_de,cuadra,cuadra
39,224,vecina_de,cuadra,cuadra
39,225,vecina_de,cuadra,cuadra
40,41,vecina_de,cuadra,cuadra
40,218,vecina_de,cuadra,cuadra
40,224,vecina_de,cuadra,cuadra
40,225,vecina_de,cuadra,cuadra
41,217,vecina_de,cuadra,cuadra
41,224,vecina_de,cuadra,cuadra
42,43,vecina_de,cuadra,cuadra
42,46,vecina_de,cuadra,cuadra
42,120,vecina_de,cuadra,cuadra
42,121,vecina_de,cuadra,cuadra
42,3888,vecina_de,cuadra,cuadra
43,44,vecina_de,cuadra,cuadra
43,45,vecina_de,cuadra,cuadra
43,46,vecina_de,cuadra,cuadra
43,119,vecina_de,cuadra,cuadra
43,120,vecina_de,cuadra,cuadra
43,121,vecina_de,cuadra,cuadra
44,45,vecina_de,cuadra,cuadra
44,68,vecina_de,cuadra,cuadra
45,46,vecina_de,cuadra,cuadra
45,67,vecina_de,cuadra,cuadra
45,68,vecina_de,cuadra,cuadra
45,119,vecina_de,cuadra,cuadra
45,120,vecina_de,cuadra,cuadra
46,111,vecina_de,cuadra,cuadra
46,119,vecina_de,cuadra,cuadra
46,120,vecina_de,cuadra,cuadra
46,121,vecina_de,cuadra,cuadra
47,65,vecina_de,cuadra,cuadra
47,67,vecina_de,cuadra,cuadra
47,68,vecina_de,cuadra,cuadra
47,132,vecina_de,cuadra,cuadra
48,49,vecina_de,cuadra,cuadra
48,50,vecina_de,cuadra,cuadra
48,107,vecina_de,cuadra,cuadra
49,50,vecina_de,cuadra,cuadra
49,107,vecina_de,cuadra,cuadra
51,52,vecina_de,cuadra,cuadra
51,53,vecina_de,cuadra,cuadra
52,53,vecina_de,cuadra,cuadra
52,54,vecina_de,cuadra,cuadra
53,54,vecina_de,cuadra,cuadra
53,55,vecina_de,cuadra,cuadra
53,107,vecina_de,cuadra,cuadra
54,55,vecina_de,cuadra,cuadra
56,57,vecina_de,cuadra,cuadra
56,58,vecina_de,cuadra,cuadra
56,59,vecina_de,cuadra,cuadra
56,66,vecina_de,cuadra,cuadra
57,58,vecina_de,cuadra,cuadra
