source,target,type,source_type,target_type,0
2,0,atiende_a,health_post,cuadra,0.38246498
2,1,atiende_a,health_post,cuadra,0.34542906
2,2,atiende_a,health_post,cuadra,0.3645556
2,3,atiende_a,health_post,cuadra,0.30689034
2,4,atiende_a,health_post,cuadra,0.34874514
2,5,atiende_a,health_post,cuadra,0.35369992
2,6,atiende_a,health_post,cuadra,0.3322687
2,7,atiende_a,health_post,cuadra,0.34505326
2,8,atiende_a,health_post,cuadra,0.36933848
2,9,atiende_a,health_post,cuadra,0.29805595
2,10,atiende_a,health_post,cuadra,0.30216286
2,11,atiende_a,health_post,cuadra,0.3074025
2,12,atiende_a,health_post,cuadra,0.33066458
2,13,atiende_a,health_post,cuadra,0.21958399
2,14,atiende_a,health_post,cuadra,0.20054446
2,15,atiende_a,health_post,cuadra,0.1838137
2,16,atiende_a,health_post,cuadra,0.31189346
2,17,atiende_a,health_post,cuadra,0.28595686
2,18,atiende_a,health_post,cuadra,0.29154983
2,19,atiende_a,health_post,cuadra,0.28895304
2,20,atiende_a,health_post,cuadra,0.25937504
2,21,atiende_a,health_post,cuadra,0.27467868
2,22,atiende_a,health_post,cuadra,0.2539874
2,23,atiende_a,health_post,cuadra,0.23870662
2,24,atiende_a,health_post,cuadra,0.28017676
2,25,atiende_a,health_post,cuadra,0.26939946
2,26,atiende_a,health_post,cuadra,0.2351024
2,27,atiende_a,health_post,cuadra,0.24997653
2,28,atiende_a,health_post,cuadra,0.2587468
2,29,atiende_a,health_post,cuadra,0.23245728
2,30,atiende_a,health_post,cuadra,0.21084811
2,31,atiende_a,health_post,cuadra,0.2523783
2,32,atiende_a,health_post,cuadra,0.25171623
2,33,atiende_a,health_post,cuadra,0.24379462
2,34,atiende_a,health_post,cuadra,0.23945336
2,35,atiende_a,health_post,cuadra,0.24798292
2,36,atiende_a,health_post,cuadra,0.23606731
2,37,atiende_a,health_post,cuadra,0.21944585
2,38,atiende_a,health_post,cuadra,0.22878525
2,39,atiende_a,health_post,cuadra,0.18003395
2,40,atiende_a,health_post,cuadra,0.16430344
2,41,atiende_a,health_post,cuadra,0.16555735
2,42,atiende_a,health_post,cuadra,0.2672813
2,43,atiende_a,health_post,cuadra,0.27820483
2,44,atiende_a,health_post,cuadra,0.29299995
2,45,atiende_a,health_post,cuadra,0.27038816
2,46,atiende_a,health_post,cuadra,0.26311055
2,47,atiende_a,health_post,cuadra,0.2374796
2,48,atiende_a,health_post,cuadra,0.40238228
2,49,atiende_a,health_post,cuadra,0.40815324
2,50,atiende_a,health_post,cuadra,0.41484818
2,51,atiende_a,health_post,cuadra,0.36793506
2,52,atiende_a,health_post,cuadra,0.36192
2,53,atiende_a,health_post,cuadra,0.35619026
2,54,atiende_a,health_post,cuadra,0.3500545
2,55,atiende_a,health_post,cuadra,0.34367603
2,56,atiende_a,health_post,cuadra,0.29723606
2,57,atiende_a,health_post,cuadra,0.27631068
2,58,atiende_a,health_post,cuadra,0.3003705
2,59,atiende_a,health_post,cuadra,0.30776867
2,60,atiende_a,health_post,cuadra,0.3143944
2,61,atiende_a,health_post,cuadra,0.3211781
2,62,atiende_a,health_post,cuadra,0.32806668
2,63,atiende_a,health_post,cuadra,0.2915634
2,64,atiende_a,health_post,cuadra,0.27943194
2,65,atiende_a,health_post,cuadra,0.2666968
2,66,atiende_a,health_post,cuadra,0.30224553
2,67,atiende_a,health_post,cuadra,0.24387677
2,68,atiende_a,health_post,cuadra,0.25944677
2,69,atiende_a,health_post,cuadra,0.29797265
2,70,atiende_a,health_post,cuadra,0.34212002
2,71,atiende_a,health_post,cuadra,0.42355347
2,72,atiende_a,health_post,cuadra,0.4380634
2,73,atiende_a,health_post,cuadra,0.4560514
2,74,atiende_a,health_post,cuadra,0.49599865
2,75,atiende_a,health_post,cuadra,0.48015282
2,76,atiende_a,health_post,cuadra,0.47138515
2,77,atiende_a,health_post,cuadra,0.46196106
2,78,atiende_a,health_post,cuadra,0.49445048
2,79,atiende_a,health_post,cuadra,0.49057415
2,80,atiende_a,health_post,cuadra,0.49932593
2,81,atiende_a,health_post,cuadra,0.5088297
2,82,atiende_a,health_post,cuadra,0.5176944
2,83,atiende_a,health_post,cuadra,0.52494717
2,84,atiende_a,health_post,cuadra,0.5207228
2,85,atiende_a,health_post,cuadra,0.5901086
2,86,atiende_a,health_post,cuadra,0.5650159
2,87,atiende_a,health_post,cuadra,0.5583782
2,88,atiende_a,health_post,cuadra,0.5497853
2,89,atiende_a,health_post,cuadra,0.5440231
2,90,atiende_a,health_post,cuadra,0.53811073
2,91,atiende_a,health_post,cuadra,0.53297144
2,92,atiende_a,health_post,cuadra,0.5278502
2,93,atiende_a,health_post,cuadra,0.51847875
2,94,atiende_a,health_post,cuadra,0.44481292
2,95,atiende_a,health_post,cuadra,0.47725335
2,96,atiende_a,health_post,cuadra,0.5635942
2,97,atiende_a,health_post,cuadra,0.5725774
2,98,atiende_a,health_post,cuadra,0.5824761
2,99,atiende_a,health_post,cuadra,0.59413564
