attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,cuadra_id
0.34303612,0.5240717,0.0,1.0,0.0,0.0,1.0,0.0,0
0.4017096,0.51125646,0.0,1.0,0.0,0.0,1.0,0.0,1
0.40650395,0.5194369,0.0,1.0,0.0,0.0,1.0,0.0,2
0.40580335,0.49304372,0.0,1.0,0.0,0.0,1.0,0.0,3
0.34126785,0.50775814,0.0,1.0,0.0,0.0,1.0,0.0,4
0.36395282,0.51465744,0.0,1.0,0.0,0.0,1.0,0.0,5
0.3817069,0.5061881,0.0,1.0,0.0,0.0,1.0,0.0,6
0.3902656,0.51192147,0.0,1.0,0.0,0.0,1.0,0.0,7
0.38579825,0.5230686,0.0,1.0,0.0,0.0,1.0,0.0,8
0.3750249,0.49032584,0.0,1.0,0.0,0.0,1.0,0.0,9
0.38451862,0.49251968,0.0,1.0,0.0,0.0,0.0,0.0,10
0.39458233,0.49453944,0.0,1.0,0.0,0.0,1.0,0.0,11
0.35382053,0.5023544,0.0,1.0,0.0,0.0,1.0,0.0,12
0.36731347,0.45349774,0.0,1.0,0.0,0.0,1.0,0.0,13
0.37138495,0.4453725,0.0,1.0,0.0,0.0,1.0,0.0,14
0.37559196,0.43822628,0.0,1.0,0.0,0.0,1.0,0.0,15
0.35695547,0.49427697,0.0,1.0,0.0,0.0,1.0,0.0,16
0.35086918,0.48078078,0.0,1.0,0.0,0.0,1.0,0.0,17
0.36019093,0.48547417,0.0,1.0,0.0,0.0,1.0,0.0,18
0.3680407,0.4854914,0.0,1.0,0.0,0.0,1.0,0.0,19
0.3615,0.47082797,0.0,1.0,0.0,0.0,1.0,0.0,20
0.38835123,0.47995886,0.0,1.0,0.0,0.0,1.0,0.0,21
0.38597226,0.47059777,0.0,1.0,0.0,0.0,1.0,0.0,22
0.36463967,0.46185604,0.0,1.0,0.0,0.0,1.0,0.0,23
0.41127098,0.47969767,0.0,1.0,0.0,0.0,1.0,0.0,24
0.41477814,0.47385094,0.0,1.0,0.0,0.0,1.0,0.0,25
0.4001113,0.46088192,0.0,1.0,0.0,0.0,1.0,0.0,26
0.39547542,0.46825507,0.0,1.0,0.0,0.0,1.0,0.0,27
0.42046368,0.4671991,0.0,1.0,0.0,0.0,1.0,0.0,28
0.40936357,0.4578815,0.0,1.0,0.0,0.0,1.0,0.0,29
0.40146777,0.44948974,0.0,1.0,0.0,0.0,1.0,0.0,30
0.42505637,0.4625535,0.0,1.0,0.0,0.0,1.0,0.0,31
0.42723408,0.46139282,0.0,1.0,0.0,0.0,0.0,0.0,32
0.42317986,0.45908624,0.0,1.0,0.0,0.0,1.0,0.0,33
0.42008,0.45808983,0.0,1.0,0.0,0.0,1.0,0.0,34
0.4171836,0.463088,0.0,1.0,0.0,0.0,1.0,0.0,35
0.41887715,0.45687056,0.0,1.0,0.0,0.0,1.0,0.0,36
0.4132049,0.45073247,0.0,1.0,0.0,0.0,1.0,0.0,37
0.41285688,0.45525178,0.0,1.0,0.0,0.0,1.0,0.0,38
0.38545972,0.43696454,0.0,1.0,0.0,0.0,1.0,0.0,39
0.38024974,0.42969924,0.0,1.0,0.0,0.0,1.0,0.0,40
0.37159663,0.4293017,0.0,1.0,0.0,0.0,1.0,0.0,41
0.27832365,0.41587505,0.0,1.0,0.0,0.0,0.0,0.0,42
0.26772377,0.40618622,0.0,1.0,0.0,0.0,1.0,0.0,43
0.25582758,0.39382702,0.0,1.0,0.0,0.0,1.0,0.0,44
